question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q41,How important is religion/God in your life?,Extremely important,Somewhat important,Not very important,Not at all important,54140,O,,religion/superstition
q77,How frequently do you drink alcohol?,Very often,Sometimes,Rarely,Never,52467,O,,descriptive
q79,What's your relationship with marijuana?,I smoke regularly.,I smoke occasionally.,"I smoked in the past, but no longer.",Never.,49796,O,,descriptive
q80,What's your deal with harder drugs (stuff beyond pot)?,I do drugs regularly.,I do drugs occasionally.,"I've done drugs in the past, but no longer.",I never do drugs.,50107,O,,descriptive
q81,How much do you go 'clubbing' (out dancing in bars)?,Lots,Sometimes,Rarely,Never,31984,O,,descriptive
q88,How messy are you?,I'm very messy,I'm average,I'm mostly organized,I'm compulsively neat,26579,O,,descriptive
q218,Should prostitution be legal?,"Yes, absolutely","Yes, only if it were regulated",I don't think so,ABSOLUTELY NOT,25694,O,,politics; religion/superstition
q274,What's the highest level of education you've completed?,Graduate School,College,High School,Junior High,31706,O,,descriptive
q278,How good is your singing voice?,"Really awesome, actually",Very good,Okay,Crappy,15965,O,,descriptive
q542,Roughly how many books have you read in the past year?,Less than five,Between five and fifteen,Between sixteen and fifty,Fifty or more,25710,O,,descriptive
q602,Have you ever gone skydiving?,"Yes, and I enjoyed it.","Yes, but I did not like it.","No, but I would like to some day.","No, and I do not want to.",17900,O,,descriptive
q665,Are you fetish-friendly?,Bring out the toys!,"Never tried it, but I'm open-minded.",Not sure/don't know what they really are.,Ew!,27406,O,,sex/intimacy
q887,"Do you enjoy crude humor, dirty jokes, and the like?","Yes, and I often try to push the boundaries!","Usually, yes.","Not in most cases, no.",Absolutely not at all.,31593,O,,preference
q979,How many children would you ideally like to have?,None,1-2,3-4,5 or more!,36507,O,,sex/intimacy; preference
q1062,How frequently do you bathe or shower?,At least once a day.,Usually daily.  I skip some.,A couple times a week.,Once a week or less.,41649,O,,descriptive
q1122,How often do you use profane language?,Never,Once in a while,Often,Almost always,26641,O,,descriptive
q1202,"Do you spend money on a partner, buying gifts, paying for events and the like?","Yes, all the time, for just about any reason.","Sometimes, on special occasions.",Only when absolutely necessary.,"No, not at all.",9743,O,,descriptive
q1272,How wise do you think you are at this stage?,I am wise about most things in life,I am wise about a few things,"Some wisdom, but I don't feel wise",I don't have much wisdom yet,3541,O,,descriptive
q1287,Have you experienced mental illness?,Yes - severely,Yes - low grade,No,I'm not sure,17945,O,"3, 4, 2, 1",descriptive
q1309,What size party would you prefer to attend?,Just a few close friends.,5-20 people.,20-100 people.,More than 100 people.,21813,O,,preference
q1401,Have you ever had a sexual encounter with someone of the same sex?,"Yes, and I enjoyed myself.","Yes, and I did not enjoy myself.","No, and I would never.","No, but I would like to.",41622,O,"3, 4, 2, 1",sex/intimacy; descriptive
q1712,How shy would you say you are?,Very shy,Kind of shy,Not really shy,Not at all shy,28992,O,,descriptive
q1783,What percent of the population is NOT physically attractive enough for your taste?,0-25% (few) are not attractive enough,25-50% (some) are not attractive enough,50-75% (many) are not attractive enough,75-100% (most) are not attractive enough,4246,O,,preference; opinion
q6042,How energetic are you?,Hyper,Fairly active,Occasionally active,Sedentary,4052,O,,descriptive
q6710,How much do you procrastinate?,Lots,Some,Not so much,Never,18332,O,,descriptive
q6997,I talk _____.,Too much. I can't shut up.,A lot,Only when there's something important to say.,When spoken to.,6473,O,,descriptive
q7204,Do you think the government has the right to regulate the ownership and use of weapons?,Yes,Only in extreme cases,No,I'm not sure,9497,O,"3, 2, 4, 1",politics
q8155,"On average, which best describes how often you GET WICKED DRUNK?",Twice a week or more,Weekly / Bi-Weekly,Once every month or three.,Seldom or never.,38298,O,,descriptive
q8209,Improvisational theatre:,I improvise!,I like to watch,I can take it or leave it,"Please, no",15078,O,,preference
q9403,Do you have a fetish that you would like to employ in your next relationship?,"Yes, and you can find out more on my profile","Yes, but I'm not saying it out in the open",Not really / Not sure,No,9403,O,,sex/intimacy
q11551,I accept other people's quirks:,Enthusiastically,Readily,Grudgingly,Not at all,17812,O,,descriptive
q12503,"How often should your significant other buy you gifts, jewelry, or other things more expensive than, say, dinner, cards, or flowers?",Very frequently.,From time to time.,"On special occasions (birthdays, Christmas, etc.).",Never.,27820,O,,preference
q12605,"Once you're intimate, how often would you and your significant other have sex?",Every day,About every other day,Once or twice a week,A few times a month or less,46098,O,,sex/intimacy
q12719,How many porn stars can you name off the top of your head?,None,Fewer than five,More than five,A LOT more than five,13474,O,,sex/intimacy; descriptive
q12970,How often do you brush your teeth?,Twice or more a day,Once a day,Only on days I feel like it,Rarely / never,47673,O,,descriptive
q13032,Would you ever consider dating a Catholic?,Yes,"Hesistant, but willing",No,Only if he/she was non-practicing,25643,O,"3, 4, 2, 1",religion/superstition; preference
q13033,Would you ever consider dating a Buddhist?,Yes,"Hesistant, but willing",No,Only if he/she was non-practicing,6237,O,"3, 4, 2, 1",religion/superstition; preference
q13103,How big is your porn collection?,Small,Medium,LARGE,I don't have one,13381,O,"4, 1, 2, 3",descriptive
q13106,Would you ever consider being a vegetarian or a vegan?,I am one!,No way!,I'd consider it.,I'm partially there already.,16423,O,"2, 3, 4, 1",politics; descriptive; preference
